timestamp;message
3:15  PM; MARCOS CURI  CNN VAI DIZER QUE SO TEVE MIL PESSOAS
3:15  PM; Guilherme luan fischer  MICHELE LADRA JOIAS
3:15  PM; TiadeSobrinas andCamilo  FAZ
3:15  PM; Jose Guillermo Yanez  Lula Presidente de verdade. Israel Estado Genocida.
3:15  PM; ninha  LADRAOOOOOOOO
3:15  PM; Carlos Mesquita  Gessica Michaelle tá com inveja da bonita Michelle kkkkkkkk
3:15  PM; Paulo Dukke  sos autoridades tem que prende ele este pastor
3:15  PM; Dinho_Bdf  cadê as jóias presidenciais gadinhos
3:15  PM; Lu Santos  Urruuuu policiais descaracterizados  para pegar os infiltrados canhotos
3:15  PM; Cidadão Comum  MALACHEIA LADRÃO DE DÍZIMO!!!
3:15  PM; Nick Iva  ISSO NÃO VAI MUDAR NADA
3:15  PM; Daubi Piccoli  QUANTO BANDID@$ JUNT@$!
3:15  PM; Caio Rossmann Moraes  estao espalhados
3:15  PM; Batista Queiroz  MUITA RAÇÃO DE CAPIM SENDO DESTRIBUIDA
3:15  PM; TiadeSobrinas andCamilo  GESTOS
3:15  PM; Ramlig ordizi  gadooooooooooooo
3:15  PM; ninha  CADEIAAAAAAAA
3:15  PM; Vera Martins  MICHEQUE COM SAUDADE DO MAQUIADOR.
3:15  PM; Mariza Andrade  não sou..kkkk
3:15  PM; Paula Rodrigues  
3:15  PM; Ricardo Barroso  É muito     
3:15  PM; André Cordeiro  Pede pro Lula fazer o mesmo pra comparar
3:15  PM; TiadeSobrinas andCamilo  SA TA NI
3:15  PM; FelipeSA  1 milhão não tem, tá bem fraco
3:15  PM; Luiz Augusto Ramos da Silva  QUANTOS BANDIDOS CABEM NA PAULISTA   
3:15  PM; Célio Félix  EU AMO MEU PRESIDENTE LULA KKKKK
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Cidadão Comum  MALACHEIA LADRÃO DE DÍZIMO!!!
3:15  PM; Humberto Rodrigues  Tem que prender todos os familiares e amigos do traficante de jóias Sauditas e golpista
3:15  PM; zobeia eu  CHEGA DE MIMIMI, VAI FICAR CHORANDO ATÉ QUANDO       
3:15  PM; Mari Pedacce  A PAULISTA TÁ LOTADAAAA!!!                         
3:15  PM; Lucas Dantas  Duvido que Lula tenha coragem de fazer o mesmo na Paulista vestido de verde e amarelo 
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Andressa Souza  
3:15  PM; Luiz Augusto Ramos da Silva  QUANTOS BANDIDOS CABEM NA PAULISTA   
3:15  PM; TiadeSobrinas andCamilo  COS EM
3:15  PM; ninha  VAU PRA CADEIAAAAAAAAA
3:15  PM; Leonardo Indin  PARABÉNS PATRIOTAS!!!! ESSE É O VERDADEIRO BRASILEIRO QUE APOIA A DEMOCRACIA. ELES QUEREM NOS VENDER COMO GOLPISTAS, MAIS SOMOS PATRIOTAS
3:15  PM; Rafael de Barba  Malafraude
3:15  PM; Daubi Piccoli  QUANTO BANDID@$ JUNT@$!
